id	px	py	stellar_mass
8062765511	-7.770308e+00	+8.126297e+00	+2.475852e+07
8062765749	+5.224549e+00	-2.107056e+00	+9.901623e+06
8062766114	-7.919184e+00	-4.895090e+00	+9.827089e+06
8062766489	-5.316824e+00	+9.076111e+00	+9.453033e+06
8062767347	-1.804935e+00	-1.830630e+00	+7.260412e+06
8062767712	-6.201731e+00	-6.406512e+00	+1.142377e+07
8062769380	-1.320919e+00	+4.598761e-01	+1.433392e+07
8062769856	+4.086981e+00	-9.787962e+00	+6.914118e+06
8062771295	-2.194988e-01	+1.128011e+00	+4.793098e+06
8062772434	+7.844631e+00	-7.195991e+00	+6.646241e+06
8062772772	-3.963688e+00	-4.504526e+00	+1.151813e+07
8062773494	-6.848116e+00	+1.121044e+00	+9.005836e+06
8062773734	+6.684820e+00	-2.114142e+00	+1.733221e+07
8062776723	+2.812878e+00	+5.338958e+00	+4.370747e+07
8062776737	+5.888112e+00	-2.137081e+00	+3.831598e+06
8062776837	-4.429455e+00	-2.947550e+00	+5.577639e+06
8062776861	-3.441386e+00	-2.511538e+00	+8.012160e+06
8062779380	-7.193576e+00	-4.351787e+00	+2.710606e+06
8062779588	+4.255605e+00	+1.404292e+00	+6.343859e+06
8062780366	-2.972009e+00	-3.803828e+00	+6.734730e+06
8062780872	-8.544189e+00	-6.090563e+00	+8.841992e+06
8062781418	-1.558901e+00	-3.728945e+00	+5.598219e+06
8062781770	-8.056609e+00	-2.676415e+00	+7.995336e+06
8062781851	-3.027233e+00	+7.035405e+00	+7.724862e+06
8062782625	+4.726541e+00	-1.463263e+00	+3.941020e+06
8062782696	+6.871651e-03	-5.591703e+00	+2.698894e+07
8062783059	+5.038793e+00	+5.423338e+00	+6.022959e+06
8062783068	+4.598239e+00	-6.538919e+00	+6.738311e+06
8062784397	-5.301631e+00	+3.356722e+00	+5.438290e+06
8062785787	-1.757546e+00	+7.463927e+00	+6.245690e+06
8062785895	-6.809209e-01	+9.077255e+00	+1.338483e+07
8062786039	+7.805961e+00	-6.412641e-02	+5.825472e+06
8062786460	-3.757409e-01	+3.052515e+00	+9.023635e+06
8062786516	+3.319018e-01	-6.257943e+00	+1.122584e+07
8062786843	-5.793470e+00	+9.682027e+00	+6.792728e+06
8062787497	-7.462988e+00	+8.136594e-01	+1.200717e+07
8062787762	+7.567649e-02	-4.136620e+00	+4.801230e+06
8062787989	-7.384343e+00	-4.331049e+00	+5.012732e+06
8062789907	-5.462224e+00	+7.687181e+00	+7.906696e+06
8062790296	+3.987356e+00	-9.833154e-01	+1.069598e+07
8062792029	+5.065834e-01	+6.246183e+00	+9.240319e+06
8062792762	-4.676869e+00	-7.851383e+00	+5.059982e+06
8062793394	+8.383155e-01	+1.702101e+00	+1.196090e+07
8062793703	+2.405755e+00	+2.166437e+00	+2.748194e+07
8062793761	+3.674560e+00	-4.530648e+00	+7.935352e+06
8062794566	+1.633177e+00	+1.744396e+00	+7.690628e+06
8062795102	-5.576793e+00	-5.571500e-01	+4.712124e+06
8062795703	-9.063925e-01	+5.434719e+00	+3.924184e+06
8062795884	-8.020666e+00	-8.288758e+00	+1.301397e+07
8062797737	+3.933903e+00	+8.543736e+00	+1.842634e+07
8062798966	-7.619533e+00	-4.891924e+00	+4.428456e+06
8062800690	+7.623168e+00	+3.319546e+00	+1.461552e+07
8062801501	-6.810840e+00	-4.946766e+00	+2.713562e+07
8062801508	-8.730119e+00	+8.458230e+00	+4.798948e+07
8062803177	+4.382653e+00	-6.886252e+00	+9.847442e+06
8062803721	+1.640420e+00	+7.224764e+00	+2.190181e+07
8062807175	+2.010878e+00	+5.888455e+00	+4.820005e+06
8062807268	+7.532715e+00	+2.631499e+00	+2.435328e+07
8062809384	+8.184217e+00	-3.772248e+00	+3.604986e+07
8062809692	+5.403387e+00	-5.051436e+00	+2.042282e+07
8062810420	-8.001529e+00	+6.949369e+00	+1.653044e+07
8062812352	+2.212006e+00	+1.566973e+00	+2.838846e+06
8062813299	+5.089360e+00	-6.390721e+00	+3.929022e+06
8062813390	-5.097407e+00	-5.157352e-01	+4.758308e+06
8062814661	+1.453134e-01	+1.871128e+00	+1.561712e+07
8062814739	-1.545720e+00	+8.471879e+00	+7.743076e+06
8062815001	+4.172527e+00	+1.000080e+00	+7.620970e+06
8062815304	+6.189221e+00	+8.491753e+00	+8.704988e+06
8062815837	-2.731979e+00	-7.440570e+00	+3.388885e+06
8062816825	-5.597974e+00	-1.562113e+00	+4.976200e+06
8062816873	-5.384890e+00	+8.225582e+00	+4.050210e+06
8062818356	-6.289812e+00	+1.199804e+00	+7.664742e+06
8062818357	+1.168687e+00	-2.326176e+00	+1.077658e+07
8062819929	+7.051439e+00	+7.284495e+00	+1.079311e+07
8062820874	-3.736576e+00	-3.239842e+00	+8.690145e+06
8062822826	+1.591621e+00	-4.832974e+00	+6.284444e+06
8062824384	+3.153907e-01	-6.057601e+00	+6.710898e+06
8062825261	-6.439633e+00	-5.250075e+00	+9.821806e+06
8062825385	-2.662998e+00	-4.568138e+00	+4.869490e+06
8062827190	-2.982515e+00	+1.368787e+00	+8.850546e+06
8062827243	+2.347603e+00	+1.329938e+00	+6.634327e+06
8062830964	-2.079841e+00	+4.574133e+00	+7.765100e+06
8062832701	+4.977853e+00	+1.757842e+00	+9.813076e+06
8062832918	+7.369213e+00	+3.173746e+00	+1.266821e+07
8062833074	-3.520919e+00	+6.909005e+00	+9.205541e+06
8062833789	-8.251187e+00	-2.139371e+00	+7.520308e+06
8062834315	-6.035822e+00	+3.579782e+00	+5.699008e+06
8062834629	-3.362567e-01	+9.399815e+00	+1.447107e+07
8062834887	-4.151553e+00	+1.693381e+00	+8.978429e+06
8062835755	+4.457863e+00	-6.844116e+00	+6.104616e+06
8062838065	+1.630383e+00	+3.889004e+00	+3.106677e+07
8062838579	+6.673167e+00	+6.907346e+00	+4.690485e+06
8062839074	-1.607499e+00	-7.601153e+00	+1.404160e+07
